# 일본판·영어판 대사 블록 번호와 PC판 한글 대사 파일의 대응 (tools/pc2ds.py 가 사용)
# 블록 번호는 mess.bin 안의 순서. 0~1246 은 일본판과 영어판이 같고, 1247~1256 은 영어판에만 있다.
# 짝은 덩어리 개수·꼬리표·반복 패턴과 종류별 파일 순서로 찾았고, 기타 화면은 내용을 읽고 정했다.
block	file
1157	RR1_ST9303_D_ENG
1158	RR1_ST9303_X_ENG
1164	RR1_ST9400_C_ENG
1165	RR1_ST9400_D_ENG
1168	RR1_ST9401_C_ENG
1169	RR1_ST9401_D_ENG
1170	RR1_ST9401_X_ENG
1172	RR1_ST9402_C_ENG
1173	RR1_ST9402_D_ENG
1174	RR1_ST9402_X_ENG
1176	RR1_ST9403_C_ENG
1177	RR1_ST9403_D_ENG
1180	RR1_ST9404_C_ENG
1181	RR1_ST9404_D_ENG
1184	RR1_ST9500_D_ENG
1185	RR1_ST9500_X_ENG
1187	RR1_ST9501_D_ENG
1190	RR1_ST9502_D_ENG
1196	RR1_ST9504_D_ENG
1199	RR1_ST9505_D_ENG
1204	RR1_ST9600_Z_ENG
1206	RR1_ST9601_X_ENG
1207	RR1_ST9601_Z_ENG
1209	RR1_ST9602_X_ENG
1210	RR1_ST9602_Z_ENG
1211	RR1_IBOXDATA_ENG
1212	RR1_COMMON_ENG
1213	RR1_NETSCREEN_ENG
1214	RR1_CARDFORCE_ENG
1215	RR1_SHOP00_ENG
1216	RR1_SHOP01_ENG
1217	RR1_SHOP02_ENG
1218	RR1_SHOP03_ENG
1219	RR1_SHOP04_ENG
1220	RR1_ITEMINF_ENG
1221	RR1_ITEMSCRN_ENG
1222	RR1_FACESCRN_ENG
1223	RR1_RECSCRN_ENG
1224	RR1_COMBOSCRN_ENG
1225	RR1_WIFI_ENG
1226	RR1_WIFI_BROTHER_ENG
1227	RR1_BACKUPCHECK_ENG
1228	RR1_QUIZ00_ENG
1229	RR1_QUIZ01_ENG
1230	RR1_QUIZ02_ENG
1231	RR1_TITLE_ENG
1232	RR1_SUBEVENT_HERI2_ENG
1233	RR1_SUBEVENT_DOOR2_ENG
1234	RR1_SUBEVENT_PITCHI2_ENG
1235	RR1_SUBEVENT_AIRCON2_ENG
1236	RR1_SUBEVENT_SYOBERU2_ENG
1237	RR1_DOUBLESLOT_ENG
1238	RR1_DOUBLESLOT2_ENG
1239	RR1_KIZAO_BROTHER_DEMO_ENG
1240	RR1_INCHO_RE_BROTHER_DEMO_ENG
1241	RR1_GORIPON_RE_BROTHER_DEMO_ENG
1242	RR1_KIZAO_RE_BROTHER_DEMO_ENG
1243	RR1_MISORA_RE_BROTHER_DEMO_ENG
1244	RR1_SHINN_BROTHER_DEMO_ENG
1245	RR1_ENDING_ENG
1246	RR1_ENDINGSAVE_ENG
1247	RR1_ITEMNAME_ENG
1248	RR1_DECKNAME_ENG
1249	RR1_CHIPNAME_ENG
1250	RR1_CHIPNAME2_ENG
1251	RR1_COLORNAME_ENG
1252	RR1_MANNAME_ENG
1253	RR1_MAPNAME_ENG
1254	RR1_EMNAME1_ENG
1255	RR1_EMNAME2_ENG
1256	RR1_ANDROMEDA_ENG
